trade_date,filename,underlier,expiry_date,strike,option_type,instrument_name,parse_status,failure_reason
2022-11-01,BANKNIFTY22110344000PE.csv,BANKNIFTY,2022-11-03,44000,PE,BANKNIFTY22110344000PE,OK,None
2022-11-01,BANKNIFTY22110344100CE.csv,BANKNIFTY,2022-11-03,44100,CE,BANKNIFTY22110344100CE,OK,None
2022-11-01,BANKNIFTY22110344200CE.csv,BANKNIFTY,2022-11-03,44200,CE,BANKNIFTY22110344200CE,OK,None
2022-11-01,BANKNIFTY22110344300CE.csv,BANKNIFTY,2022-11-03,44300,CE,BANKNIFTY22110344300CE,OK,None
2022-11-01,BANKNIFTY22110344400CE.csv,BANKNIFTY,2022-11-03,44400,CE,BANKNIFTY22110344400CE,OK,None
2022-11-01,BANKNIFTY22110344500CE.csv,BANKNIFTY,2022-11-03,44500,CE,BANKNIFTY22110344500CE,OK,None
2022-11-01,BANKNIFTY22110344500PE.csv,BANKNIFTY,2022-11-03,44500,PE,BANKNIFTY22110344500PE,OK,None
2022-11-01,BANKNIFTY22110344600CE.csv,BANKNIFTY,2022-11-03,44600,CE,BANKNIFTY22110344600CE,OK,None
2022-11-01,BANKNIFTY22110345000CE.csv,BANKNIFTY,2022-11-03,45000,CE,BANKNIFTY22110345000CE,OK,None
2022-11-01,BANKNIFTY22110345500CE.csv,BANKNIFTY,2022-11-03,45500,CE,BANKNIFTY22110345500CE,OK,None
2022-11-01,BANKNIFTY22110346000CE.csv,BANKNIFTY,2022-11-03,46000,CE,BANKNIFTY22110346000CE,OK,None
2022-11-01,BANKNIFTY22110346500CE.csv,BANKNIFTY,2022-11-03,46500,CE,BANKNIFTY22110346500CE,OK,None
2022-11-01,BANKNIFTY22111031000PE.csv,BANKNIFTY,2022-11-10,31000,PE,BANKNIFTY22111031000PE,OK,None
2022-11-01,BANKNIFTY22111035000PE.csv,BANKNIFTY,2022-11-10,35000,PE,BANKNIFTY22111035000PE,OK,None
2022-11-01,BANKNIFTY22111035500PE.csv,BANKNIFTY,2022-11-10,35500,PE,BANKNIFTY22111035500PE,OK,None
2022-11-01,BANKNIFTY22111035600PE.csv,BANKNIFTY,2022-11-10,35600,PE,BANKNIFTY22111035600PE,OK,None
2022-11-01,BANKNIFTY22111035800PE.csv,BANKNIFTY,2022-11-10,35800,PE,BANKNIFTY22111035800PE,OK,None
2022-11-01,BANKNIFTY22111036000PE.csv,BANKNIFTY,2022-11-10,36000,PE,BANKNIFTY22111036000PE,OK,None
2022-11-01,BANKNIFTY22111036400PE.csv,BANKNIFTY,2022-11-10,36400,PE,BANKNIFTY22111036400PE,OK,None
2022-11-01,BANKNIFTY22111036500PE.csv,BANKNIFTY,2022-11-10,36500,PE,BANKNIFTY22111036500PE,OK,None
2022-11-01,BANKNIFTY22111036700PE.csv,BANKNIFTY,2022-11-10,36700,PE,BANKNIFTY22111036700PE,OK,None
2022-11-01,BANKNIFTY22111037000PE.csv,BANKNIFTY,2022-11-10,37000,PE,BANKNIFTY22111037000PE,OK,None
2022-11-01,BANKNIFTY22111037100PE.csv,BANKNIFTY,2022-11-10,37100,PE,BANKNIFTY22111037100PE,OK,None
2022-11-01,BANKNIFTY22111037200PE.csv,BANKNIFTY,2022-11-10,37200,PE,BANKNIFTY22111037200PE,OK,None
2022-11-01,BANKNIFTY22111037300PE.csv,BANKNIFTY,2022-11-10,37300,PE,BANKNIFTY22111037300PE,OK,None
2022-11-01,BANKNIFTY22111037400PE.csv,BANKNIFTY,2022-11-10,37400,PE,BANKNIFTY22111037400PE,OK,None
2022-11-01,BANKNIFTY22111037500CE.csv,BANKNIFTY,2022-11-10,37500,CE,BANKNIFTY22111037500CE,OK,None
2022-11-01,BANKNIFTY22111037500PE.csv,BANKNIFTY,2022-11-10,37500,PE,BANKNIFTY22111037500PE,OK,None
2022-11-01,BANKNIFTY22111037600PE.csv,BANKNIFTY,2022-11-10,37600,PE,BANKNIFTY22111037600PE,OK,None
2022-11-01,BANKNIFTY22111037700PE.csv,BANKNIFTY,2022-11-10,37700,PE,BANKNIFTY22111037700PE,OK,None
2022-11-01,BANKNIFTY22111037800PE.csv,BANKNIFTY,2022-11-10,37800,PE,BANKNIFTY22111037800PE,OK,None
2022-11-01,BANKNIFTY22111037900PE.csv,BANKNIFTY,2022-11-10,37900,PE,BANKNIFTY22111037900PE,OK,None
2022-11-01,BANKNIFTY22111038000CE.csv,BANKNIFTY,2022-11-10,38000,CE,BANKNIFTY22111038000CE,OK,None
2022-11-01,BANKNIFTY22111038000PE.csv,BANKNIFTY,2022-11-10,38000,PE,BANKNIFTY22111038000PE,OK,None
